"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-25","0.20","71","55"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-26","1.59","68","55"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-27","0.09","65","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-28","0.20","71","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-29","0.00","71","54"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-30","0.00","78","57"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-31","0.02","80","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-01","0.00","69","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-02","0.00","70","53"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-03","0.00","78","57"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-04","0.00","83","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-05","0.12","73","50"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-06","0.01","62","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-07","0.00","65","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-08","0.00","65","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-09","0.00","66","49"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-10","0.00","72","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-11","0.00","78","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-12","0.00","79","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-13","0.00","83","61"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-14","0.00","84","63"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-15","0.00","87","65"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-16","0.00","80","68"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-17","0.03","74","50"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-18","0.00","64","49"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-19","0.33","58","53"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-20","0.25","77","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-21","0.00","73","49"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-22","0.00","80","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-23","0.00","91","71"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-24","0.00","86","68"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-25","0.31","87","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-26","0.19","60","55"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-27","0.01","62","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-28","0.00","64","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-29","0.00","62","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-09-30","0.00","62","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-01","0.12","67","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-02","0.73","61","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-03","2.05","69","53"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-04","0.06","69","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-05","0.00","57","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-06","0.02","63","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-07","0.65","58","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-08","0.02","65","49"
